          ,,   移動出荷指示取込一覧                                                      ,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                       ,,,,,,,,,,,,,,,,,
受信日,20150424,910,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,,,,,,,,
企業コード,出荷指示№,出荷予定日,倉庫コード,出荷店コード,店舗名,BR,品番,  カラー,サイズ,数量,ＰＢ区分,上代単価,下代単価,理由名称,配分理由区分,オペレータＣＤ,データ作成日,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                     
10,11578,20150424,39,10367,ＳＴＮＹ静岡パルコ店　　　　　　　　　　　　　　　　　　　　,3,1510280234,74,0,1,1,22500,22500,理由なし             ,1001,SYSTEM,20150424,                                                                                                                                                                                                                                                                                                                                ,,,,,,,,,,,,,,,
10,11582,20150424,39,14818,ＳＣルクアイーレ　　　　　　　　　　　　　　　　　　　　　　,3,1510170501,22,0,8,1,25000,25000,プロパー商品         ,1008,SYSTEM,20150424,                                                                                                                                                                                                                                                                                                                                ,,,,,,,,,,,,,,,
10,11582,20150424,39,14818,ＳＣルクアイーレ　　　　　　　　　　　　　　　　　　　　　　,3,1510170731,20,0,8,1,21000,21000,プロパー商品         ,1008,SYSTEM,20150424,                                                                                                                                                                                                                                                                                                                                ,,,,,,,,,,,,,,,
10,11582,20150424,39,19894,札幌三越催事　　　　　　　　　　　　　　　　　　　　　　　　,3,1510170501,22,0,8,1,25000,25000,プロパー商品         ,1008,SYSTEM,20150424,                                                                                                                                                                                                                                                                                                                                ,,,,,,,,,,,,,,,
10,11582,20150424,39,19894,札幌三越催事　　　　　　　　　　　　　　　　　　　　　　　　,3,1510170731,20,0,8,1,21000,21000,プロパー商品         ,1008,SYSTEM,20150424,                                                                                                                                                                                                                                                                                                                                ,,,,,,,,,,,,,,,
10,11582,20150424,39,19896,広島三越催事　　　　　　　　　　　　　　　　　　　　　　　　,3,1510170501,22,0,8,1,25000,25000,プロパー商品         ,1008,SYSTEM,20150424,                                                                                                                                                                                                                                                                                                                                ,,,,,,,,,,,,,,,
10,11582,20150424,39,19896,広島三越催事　　　　　　　　　　　　　　　　　　　　　　　　,3,1510170731,20,0,8,1,21000,21000,プロパー商品         ,1008,SYSTEM,20150424,                                                                                                                                                                                                                                                                                                                                ,,,,,,,,,,,,,,,
10,11583,20150424,39,11225,ＰＣＪＲ京都伊勢丹店　　　　　　　　　　　　　　　　　　　　,3,1510280241,22,0,10,1,12000,12000,プロパー商品         ,1008,SYSTEM,20150424,                                                                                                                                                                                                                                                                                                                                ,,,,,,,,,,,,,,,
10,11583,20150424,39,11225,ＰＣＪＲ京都伊勢丹店　　　　　　　　　　　　　　　　　　　　,3,1510280242,22,0,5,1,16000,16000,プロパー商品         ,1008,SYSTEM,20150424,                                                                                                                                                                                                                                                                                                                                ,,,,,,,,,,,,,,,
10,11583,20150424,39,11225,ＰＣＪＲ京都伊勢丹店　　　　　　　　　　　　　　　　　　　　,3,1510280243,22,0,8,1,19500,19500,プロパー商品         ,1008,SYSTEM,20150424,                                                                                                                                                                                                                                                                                                                                ,,,,,,,,,,,,,,,
10,11583,20150424,39,11225,ＰＣＪＲ京都伊勢丹店　　　　　　　　　　　　　　　　　　　　,3,1510280244,22,0,5,1,22500,22500,プロパー商品         ,1008,SYSTEM,20150424,                                                                                                                                                                                                                                                                                                                                ,,,,,,,,,,,,,,,
10,11583,20150424,39,11225,ＰＣＪＲ京都伊勢丹店　　　　　　　　　　　　　　　　　　　　,3,1510280251,22,0,5,1,16000,16000,プロパー商品         ,1008,SYSTEM,20150424,                                                                                                                                                                                                                                                                                                                                ,,,,,,,,,,,,,,,
10,11583,20150424,39,11225,ＰＣＪＲ京都伊勢丹店　　　　　　　　　　　　　　　　　　　　,3,1510280281,22,0,5,1,8000,8000,プロパー商品         ,1008,SYSTEM,20150424,                                                                                                                                                                                                                                                                                                                                ,,,,,,,,,,,,,,,
10,11583,20150424,39,11225,ＰＣＪＲ京都伊勢丹店　　　　　　　　　　　　　　　　　　　　,3,1510280431,20,0,8,1,12000,12000,プロパー商品         ,1008,SYSTEM,20150424,                                                                                                                                                                                                                                                                                                                                ,,,,,,,,,,,,,,,
10,11583,20150424,39,14818,ＳＣルクアイーレ　　　　　　　　　　　　　　　　　　　　　　,3,1510280241,22,0,10,1,12000,12000,プロパー商品         ,1008,SYSTEM,20150424,                                                                                                                                                                                                                                                                                                                                ,,,,,,,,,,,,,,,
10,11583,20150424,39,14818,ＳＣルクアイーレ　　　　　　　　　　　　　　　　　　　　　　,3,1510280242,22,0,5,1,16000,16000,プロパー商品         ,1008,SYSTEM,20150424,                                                                                                                                                                                                                                                                                                                                ,,,,,,,,,,,,,,,
10,11583,20150424,39,14818,ＳＣルクアイーレ　　　　　　　　　　　　　　　　　　　　　　,3,1510280243,22,0,8,1,19500,19500,プロパー商品         ,1008,SYSTEM,20150424,                                                                                                                                                                                                                                                                                                                                ,,,,,,,,,,,,,,,
10,11583,20150424,39,14818,ＳＣルクアイーレ　　　　　　　　　　　　　　　　　　　　　　,3,1510280244,22,0,5,1,22500,22500,プロパー商品         ,1008,SYSTEM,20150424,                                                                                                                                                                                                                                                                                                                                ,,,,,,,,,,,,,,,
10,11583,20150424,39,14818,ＳＣルクアイーレ　　　　　　　　　　　　　　　　　　　　　　,3,1510280251,22,0,5,1,16000,16000,プロパー商品         ,1008,SYSTEM,20150424,                                                                                                                                                                                                                                                                                                                                ,,,,,,,,,,,,,,,
10,11583,20150424,39,14818,ＳＣルクアイーレ　　　　　　　　　　　　　　　　　　　　　　,3,1510280281,22,0,5,1,8000,8000,プロパー商品         ,1008,SYSTEM,20150424,                                                                                                                                                                                                                                                                                                                                ,,,,,,,,,,,,,,,
10,11583,20150424,39,14818,ＳＣルクアイーレ　　　　　　　　　　　　　　　　　　　　　　,3,1510280431,20,0,8,1,12000,12000,プロパー商品         ,1008,SYSTEM,20150424,                                                                                                                                                                                                                                                                                                                                ,,,,,,,,,,,,,,,
10,11583,20150424,39,19894,札幌三越催事　　　　　　　　　　　　　　　　　　　　　　　　,3,1510280241,22,0,10,1,12000,12000,プロパー商品         ,1008,SYSTEM,20150424,                                                                                                                                                                                                                                                                                                                                ,,,,,,,,,,,,,,,
10,11583,20150424,39,19894,札幌三越催事　　　　　　　　　　　　　　　　　　　　　　　　,3,1510280242,22,0,5,1,16000,16000,プロパー商品         ,1008,SYSTEM,20150424,                                                                                                                                                                                                                                                                                                                                ,,,,,,,,,,,,,,,
10,11583,20150424,39,19894,札幌三越催事　　　　　　　　　　　　　　　　　　　　　　　　,3,1510280243,22,0,8,1,19500,19500,プロパー商品         ,1008,SYSTEM,20150424,                                                                                                                                                                                                                                                                                                                                ,,,,,,,,,,,,,,,
10,11583,20150424,39,19894,札幌三越催事　　　　　　　　　　　　　　　　　　　　　　　　,3,1510280244,22,0,5,1,22500,22500,プロパー商品         ,1008,SYSTEM,20150424,                                                                                                                                                                                                                                                                                                                                ,,,,,,,,,,,,,,,
10,11583,20150424,39,19894,札幌三越催事　　　　　　　　　　　　　　　　　　　　　　　　,3,1510280251,22,0,5,1,16000,16000,プロパー商品         ,1008,SYSTEM,20150424,                                                                                                                                                                                                                                                                                                                                ,,,,,,,,,,,,,,,
10,11583,20150424,39,19894,札幌三越催事　　　　　　　　　　　　　　　　　　　　　　　　,3,1510280281,22,0,5,1,8000,8000,プロパー商品         ,1008,SYSTEM,20150424,                                                                                                                                                                                                                                                                                                                                ,,,,,,,,,,,,,,,
10,11583,20150424,39,19894,札幌三越催事　　　　　　　　　　　　　　　　　　　　　　　　,3,1510280431,20,0,8,1,12000,12000,プロパー商品         ,1008,SYSTEM,20150424,                                                                                                                                                                                                                                                                                                                                ,,,,,,,,,,,,,,,
10,11583,20150424,39,19896,広島三越催事　　　　　　　　　　　　　　　　　　　　　　　　,3,1510280241,22,0,10,1,12000,12000,プロパー商品         ,1008,SYSTEM,20150424,                                                                                                                                                                                                                                                                                                                                ,,,,,,,,,,,,,,,
10,11583,20150424,39,19896,広島三越催事　　　　　　　　　　　　　　　　　　　　　　　　,3,1510280242,22,0,5,1,16000,16000,プロパー商品         ,1008,SYSTEM,20150424,                                                                                                                                                                                                                                                                                                                                ,,,,,,,,,,,,,,,
