企業コード,出荷指示№,出荷予定日,倉庫コード,出荷店コード,店舗名,BR,品番,  カラー,サイズ,数量,ＰＢ区分,上代単価,下代単価,理由名称,配分理由区分,オペレータＣＤ,データ作成日
10,14394,20150704,39,10145,ＤＸ＆ＳＣグランツリー武蔵小杉店　　　　　　　　　　　　　　,56,1420145001,20,0,2,1,3900,3900,３０％ＯＦＦ         ,1005,SYSTEM,20150610
10,14394,20150704,39,10145,ＤＸ＆ＳＣグランツリー武蔵小杉店　　　　　　　　　　　　　　,56,1420145001,46,0,3,1,3900,3900,３０％ＯＦＦ         ,1005,SYSTEM,20150610
10,14394,20150704,39,10145,ＤＸ＆ＳＣグランツリー武蔵小杉店　　　　　　　　　　　　　　,56,1420145001,74,0,2,1,3900,3900,３０％ＯＦＦ         ,1005,SYSTEM,20150610
10,14394,20150704,39,10145,ＤＸ＆ＳＣグランツリー武蔵小杉店　　　　　　　　　　　　　　,56,1420145001,75,0,2,1,3900,3900,３０％ＯＦＦ         ,1005,SYSTEM,20150610
10,14394,20150704,39,10145,ＤＸ＆ＳＣグランツリー武蔵小杉店　　　　　　　　　　　　　　,56,1420145011,20,0,3,1,3900,3900,３０％ＯＦＦ         ,1005,SYSTEM,20150610
10,14394,20150704,39,10145,ＤＸ＆ＳＣグランツリー武蔵小杉店　　　　　　　　　　　　　　,56,1420145011,24,0,3,1,3900,3900,３０％ＯＦＦ         ,1005,SYSTEM,20150610
10,14394,20150704,39,10145,ＤＸ＆ＳＣグランツリー武蔵小杉店　　　　　　　　　　　　　　,56,1420145011,41,0,3,1,3900,3900,３０％ＯＦＦ         ,1005,SYSTEM,20150610
10,14394,20150704,39,10145,ＤＸ＆ＳＣグランツリー武蔵小杉店　　　　　　　　　　　　　　,56,1420145011,46,0,3,1,3900,3900,３０％ＯＦＦ         ,1005,SYSTEM,20150610
10,14394,20150704,39,10145,ＤＸ＆ＳＣグランツリー武蔵小杉店　　　　　　　　　　　　　　,56,1420145011,74,0,3,1,3900,3900,３０％ＯＦＦ         ,1005,SYSTEM,20150610
10,14394,20150704,39,10145,ＤＸ＆ＳＣグランツリー武蔵小杉店　　　　　　　　　　　　　　,56,1420145012,24,0,3,1,4900,4900,３０％ＯＦＦ         ,1005,SYSTEM,20150610
10,14394,20150704,39,10145,ＤＸ＆ＳＣグランツリー武蔵小杉店　　　　　　　　　　　　　　,56,1420145012,46,0,2,1,4900,4900,３０％ＯＦＦ         ,1005,SYSTEM,20150610
10,14394,20150704,39,10145,ＤＸ＆ＳＣグランツリー武蔵小杉店　　　　　　　　　　　　　　,56,1420145801,0,0,2,1,3900,3900,３０％ＯＦＦ         ,1005,SYSTEM,20150610
10,14394,20150704,39,10145,ＤＸ＆ＳＣグランツリー武蔵小杉店　　　　　　　　　　　　　　,56,1420145801,30,0,2,1,3900,3900,３０％ＯＦＦ         ,1005,SYSTEM,20150610
10,14394,20150704,39,10145,ＤＸ＆ＳＣグランツリー武蔵小杉店　　　　　　　　　　　　　　,56,1420145801,60,0,2,1,3900,3900,３０％ＯＦＦ         ,1005,SYSTEM,20150610
10,14394,20150704,39,10145,ＤＸ＆ＳＣグランツリー武蔵小杉店　　　　　　　　　　　　　　,56,1420145801,74,0,2,1,3900,3900,３０％ＯＦＦ         ,1005,SYSTEM,20150610
10,14394,20150704,39,10145,ＤＸ＆ＳＣグランツリー武蔵小杉店　　　　　　　　　　　　　　,56,1420145801,80,0,2,1,3900,3900,３０％ＯＦＦ         ,1005,SYSTEM,20150610
10,14394,20150704,39,10145,ＤＸ＆ＳＣグランツリー武蔵小杉店　　　　　　　　　　　　　　,56,1420145801,90,0,2,1,3900,3900,３０％ＯＦＦ         ,1005,SYSTEM,20150610
10,14394,20150704,39,10706,ＳＶ＆ＣＧイオンモール熊本店　　　　　　　　　　　　　　　　,56,1420145001,20,0,2,1,3900,3900,３０％ＯＦＦ         ,1005,SYSTEM,20150610
10,14394,20150704,39,10706,ＳＶ＆ＣＧイオンモール熊本店　　　　　　　　　　　　　　　　,56,1420145001,46,0,3,1,3900,3900,３０％ＯＦＦ         ,1005,SYSTEM,20150610
10,14394,20150704,39,10706,ＳＶ＆ＣＧイオンモール熊本店　　　　　　　　　　　　　　　　,56,1420145001,74,0,2,1,3900,3900,３０％ＯＦＦ         ,1005,SYSTEM,20150610
10,14394,20150704,39,10706,ＳＶ＆ＣＧイオンモール熊本店　　　　　　　　　　　　　　　　,56,1420145001,75,0,2,1,3900,3900,３０％ＯＦＦ         ,1005,SYSTEM,20150610
10,14394,20150704,39,10706,ＳＶ＆ＣＧイオンモール熊本店　　　　　　　　　　　　　　　　,56,1420145011,20,0,3,1,3900,3900,３０％ＯＦＦ         ,1005,SYSTEM,20150610
